codigo;codigo_formatado;descricao;data_inicio;data_fim;tipo_orgao_ato_ini;numero_ato_ini;ano_ato_ini;source_id;data_ultima_alteracao;snapshot_gerado_em
02068000;0206.80.00;- Outras, frescas ou refrigeradas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02069000;0206.90.00;- Outras, congeladas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071100;0207.11.00;-- Não cortadas em pedaços, frescas ou refrigeradas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071210;0207.12.10;Com miudezas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071220;0207.12.20;Sem miudezas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071300;0207.13.00;-- Pedaços e miudezas, frescos ou refrigerados;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071411;0207.14.11;Peitos;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071412;0207.14.12;Coxas com sobrecoxas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071413;0207.14.13;Asas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071419;0207.14.19;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071421;0207.14.21;Peitos, coxas e sobrecoxas, formando uma só peça;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071422;0207.14.22;Peitos;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071423;0207.14.23;Coxas com sobrecoxas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071424;0207.14.24;Carne mecanicamente separada;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071429;0207.14.29;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071431;0207.14.31;Fígados;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071432;0207.14.32;Moelas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071433;0207.14.33;Corações;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071434;0207.14.34;Pés e patas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02071439;0207.14.39;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02072400;0207.24.00;-- Não cortadas em pedaços, frescas ou refrigeradas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02072500;0207.25.00;-- Não cortadas em pedaços, congeladas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02072600;0207.26.00;-- Pedaços e miudezas, frescos ou refrigerados;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02072700;0207.27.00;-- Pedaços e miudezas, congelados;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02074100;0207.41.00;-- Não cortadas em pedaços, frescas ou refrigeradas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02074200;0207.42.00;-- Não cortadas em pedaços, congeladas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02074300;0207.43.00;-- Fígados gordos (<i>foies gras</i>), frescos ou refrigerados;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02074400;0207.44.00;-- Outras, frescas ou refrigeradas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02074500;0207.45.00;-- Outras, congeladas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02075100;0207.51.00;-- Não cortadas em pedaços, frescas ou refrigeradas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02075200;0207.52.00;-- Não cortadas em pedaços, congeladas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02075300;0207.53.00;-- Fígados gordos (<i>foies gras</i>), frescos ou refrigerados;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02075400;0207.54.00;-- Outras, frescas ou refrigeradas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02075500;0207.55.00;-- Outras, congeladas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02076000;0207.60.00;- De galinhas-d'angola (pintadas);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02081000;0208.10.00;- De coelhos ou lebres;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02083000;0208.30.00;- De primatas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02084000;0208.40.00;"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)";;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02085000;0208.50.00;- De répteis (incluindo as serpentes e as tartarugas marinhas);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02086000;0208.60.00;- De camelos e outros camelídeos (<i>Camelidae</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02089000;0208.90.00;- Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02091011;0209.10.11;Fresco, refrigerado ou congelado;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02091019;0209.10.19;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02091021;0209.10.21;Fresca, refrigerada ou congelada;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02091029;0209.10.29;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02099000;0209.90.00;- Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02101100;0210.11.00;-- Pernas, pás e respectivos pedaços, não desossados;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02101200;0210.12.00;-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02101900;0210.19.00;-- Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02102000;0210.20.00;- Carnes da espécie bovina;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109100;0210.91.00;-- De primatas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109200;0210.92.00;"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)";;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109300;0210.93.00;-- De répteis (incluindo as serpentes e as tartarugas marinhas);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109911;0210.99.11;De galos e de galinhas;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109919;0210.99.19;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109920;0210.99.20;Carnes da espécie ovina;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109930;0210.99.30;Carnes da espécie cavalar;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109940;0210.99.40;Miudezas comestíveis;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
02109990;0210.99.90;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03011110;0301.11.10;Aruanã (<i>Osteoglossum bicirrhosum</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03011190;0301.11.90;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03011900;0301.19.00;-- Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019110;0301.91.10;Para reprodução;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019190;0301.91.90;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019210;0301.92.10;Para reprodução;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019290;0301.92.90;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019310;0301.93.10;Para reprodução;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019390;0301.93.90;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019410;0301.94.10;Para reprodução;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019490;0301.94.90;Outras;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019510;0301.95.10;Para reprodução;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019590;0301.95.90;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
