cest;cest_normalizado;ncm_sh;authority_source_id;ingestion_source_id;snapshot_gerado_em
01.055.00;0105500;8512.20;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.055.00;0105500;8512.40;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.055.00;0105500;8512.90.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.056.00;0105600;8517.14.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.057.00;0105700;8518;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.058.00;0105800;8518.50.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.059.00;0105900;8519.81;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.060.00;0106000;8525.50.1;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.060.00;0106000;8525.60.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.061.00;0106100;8527.21.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.062.00;0106200;8527.29.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.062.01;0106201;8521.90.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.063.00;0106300;8529.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.064.00;0106400;8534.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.065.00;0106500;8535.30;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.065.00;0106500;8536.50;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.066.00;0106600;8536.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.067.00;0106700;8536.20.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.068.00;0106800;8536.4;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.069.00;0106900;8538;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.070.00;0107000;8539.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.071.00;0107100;8539.2;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.072.00;0107200;8544.20.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.073.00;0107300;8544.30.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.074.00;0107400;8707;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.075.00;0107500;8708;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.076.00;0107600;8714.1;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.077.00;0107700;8716.90.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.078.00;0107800;9026.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.079.00;0107900;9026.20;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.080.00;0108000;9029;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.081.00;0108100;9030.33.21;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.082.00;0108200;9031.80.40;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.083.00;0108300;9032.89.2;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.084.00;0108400;9104.00.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
